id;nom;prenom;mail
1;Chine initiatives niches;Bedfordshire;disintermediate Rustic c
2;navigating;Somoni primary Frozen;Practical services
3;definition Cambridgeshire;Rustic;grid-enabled Buckinghamshire
4;teal paradigms;Cedi;ADP
5;cultivate facilitate JSON;array Card;orchid Loan Down-sized
6;Chili PCI reintermediate;invoice Architecte value-added;array payment
7;Small leading-edge;Jamaïque primary;Health lime violet
8;Concrete;Incredible fuchsia Saint-Honoré;Cotton
9;Loan Directeur Avon;migration;capacitor Sri
10;Wooden a;olive wireless viral;Metal Steel Account
