id;nom;prenom;mail
1;Chips Guinée;Cotton;Riel cultivate
2;Granite;array a monitoring;reinvent revolutionary
3;generating c;Faubourg-Saint-Denis Home;Computers
4;deposit hard compress;salmon;capacitor
5;deposit IB Tuna;c Card;Account Bedfordshire
6;invoice indexing;Mouse Avon;Quetzal
7;invoice New;Ingenieur;Joubert Bretagne concept
8;PNG blue b;reboot Franche-Comté Checking;Handmade
9;Avon holistic;object-oriented;Nesle Molière Croatie
10;Metal payment;sensor;Champagne-Ardenne Concrete Champagne-Ardenne
